TIME_STAMP,SCORE,SNAKE_X,SNAKE_Y,INPUT_BUTTON,FOOD_X,FOOD_Y
709,0,160,80,S,120,0
920,0,160,120,A,120,0
1129,0,120,120,W,120,0
1650,0,120,20,A,120,0
3271,0,160,80,W,160,100
3588,0,160,20,A,160,100
3796,0,120,20,S,160,100
4215,0,120,100,D,160,100
4424,1,160,100,S,140,140
4740,1,160,160,A,140,140
5056,1,100,160,W,140,140
5162,1,100,140,D,140,140
5478,2,160,140,W,160,120
6003,3,160,40,A,60,180
6216,3,120,40,S,60,180
6848,3,120,160,A,60,180
7161,3,60,160,S,60,180
7266,4,60,180,D,120,40
7686,4,140,180,W,120,40
8422,4,140,40,A,120,40
8737,5,80,40,S,120,80
8947,5,80,80,D,120,80
9261,6,140,80,S,0,80
9472,6,140,120,A,0,80
10208,6,0,120,W,0,80
10523,7,0,60,D,20,20
10733,7,40,60,W,20,20
10941,7,40,20,A,20,20
11150,8,0,20,S,40,140
