TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,4.0,2.0,2.0,5.0,-1,0
2,6.0,2.0,2.0,5.0,1,0
6,6.0,6.0,2.0,5.0,2,0
10,2.0,6.0,2.0,5.0,0,0
11,2.0,5.0,5.0,7.0,3,1
16,7.0,5.0,5.0,7.0,1,1
17,7.0,6.0,5.0,7.0,2,1
24,0.0,6.0,5.0,7.0,-1,1
-1,5.0,3.0,6.0,4.0,-1,0
0,5.0,3.0,6.0,4.0,1,0
5,5.0,8.0,6.0,4.0,3,0
5,5.0,8.0,6.0,4.0,2,0
10,0.0,8.0,6.0,4.0,-1,0
-1,1.0,5.0,2.0,7.0,-1,0
3,4.0,5.0,2.0,7.0,0,0
7,4.0,1.0,2.0,7.0,2,0
10,1.0,1.0,2.0,7.0,1,0
16,1.0,7.0,2.0,7.0,3,0
22,7.0,7.0,3.0,8.0,0,1
25,7.0,4.0,3.0,8.0,2,1
29,3.0,4.0,3.0,8.0,1,1
32,3.0,7.0,3.0,8.0,2,1
34,1.0,7.0,3.0,8.0,0,1
38,1.0,3.0,3.0,8.0,3,1
42,5.0,3.0,3.0,8.0,1,1
46,5.0,7.0,3.0,8.0,2,1
49,2.0,7.0,3.0,8.0,0,1
51,2.0,5.0,3.0,8.0,3,1
54,5.0,5.0,3.0,8.0,1,1
57,5.0,8.0,3.0,8.0,2,1
59,3.0,8.0,2.0,7.0,0,2
63,3.0,4.0,2.0,7.0,3,2
66,6.0,4.0,2.0,7.0,1,2
69,6.0,7.0,2.0,7.0,2,2
74,1.0,7.0,6.0,7.0,0,3
75,1.0,6.0,6.0,7.0,3,3
81,7.0,6.0,6.0,7.0,1,3
83,7.0,8.0,6.0,7.0,2,3
86,4.0,8.0,6.0,7.0,0,3
88,4.0,6.0,6.0,7.0,3,3
92,8.0,6.0,6.0,7.0,0,3
94,8.0,4.0,6.0,7.0,2,3
98,4.0,4.0,6.0,7.0,1,3
102,4.0,8.0,6.0,7.0,3,3
105,7.0,8.0,6.0,7.0,0,3
106,7.0,7.0,6.0,7.0,2,3
111,2.0,7.0,2.0,3.0,0,4
116,2.0,2.0,8.0,5.0,3,5
