TIME_STAMP,SCORE,SNAKE_X,SNAKE_Y,INPUT_BUTTON,FOOD_X,FOOD_Y
4009,0,40,0,S,20,20
5647,0,40,20,D,20,20
6074,1,20,20,S,80,0
6590,1,20,20,D,80,0
6762,1,60,20,W,80,0
7275,1,60,20,D,80,0
7449,1,100,20,W,80,0
7878,1,100,40,A,80,0
7965,1,80,40,W,80,0
8564,2,80,20,A,0,40
8902,2,0,20,S,0,40
9415,3,0,20,A,20,60
9755,3,40,20,S,20,60
10183,3,40,0,D,20,60
10686,3,40,0,S,20,60
10945,3,40,60,D,20,60
11798,4,0,60,W,60,0
12056,4,0,0,D,60,0
12652,5,20,0,S,20,60
12822,5,20,40,D,20,60
13083,5,80,40,S,20,60
13170,5,80,60,D,20,60
13860,6,0,60,W,40,40
14032,6,0,20,A,40,40
14455,6,20,20,S,40,40
14621,6,20,60,D,40,40
15044,6,0,60,W,40,40
15209,6,0,20,A,40,40
15641,6,20,20,S,40,40
15727,6,20,40,D,40,40
---END---
